Time	Current
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.5	1.758
283.5	1.853
283.5	1.765
283.5	1.775
283.5	1.629
283.5	1.556
283.5	1.539
283.5	1.569
283.5	1.647
283.5	1.776
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
283.6	2.2910000000000004
283.6	2.272
283.6	2.436
283.6	2.463
283.6	2.493
283.6	2.561
283.6	2.639
283.6	2.461
283.6	2.014
283.6	2.3640000000000003
